path	split	class	video_id	w	h	fps	nb_frames	codec	duration	size	bitrate	encoder	title	comment	date
train/fighting_or_violence/videos/TR00510.mp4	train	fighting_or_violence	TR00510	1280	720	15.0	87	h264	5.800000	2605585	3593910	Lavf58.76.100	EV录屏3.9.5软件录制	本视频由湖南一唯信息科技开发的EV录屏软件录制，www.ieway.cn	
train/fighting_or_violence/videos/TR00511.mp4	train	fighting_or_violence	TR00511	1280	720	15.0	135	h264	9.000000	1198397	1065241	Lavf58.76.100			0
train/fighting_or_violence/videos/TR00512.mp4	train	fighting_or_violence	TR00512	1280	720	15.0	88	h264	5.866667	1222022	1666393	Lavf58.76.100	EV录屏3.9.5软件录制	本视频由湖南一唯信息科技开发的EV录屏软件录制，www.ieway.cn	
train/fighting_or_violence/videos/TR00513.mp4	train	fighting_or_violence	TR00513	1280	720	15.0	88	h264	5.866667	2996338	4085915	Lavf58.76.100	EV录屏3.9.5软件录制	本视频由湖南一唯信息科技开发的EV录屏软件录制，www.ieway.cn	
train/fighting_or_violence/videos/TR00514.mp4	train	fighting_or_violence	TR00514	1280	720	15.0	450	h264	30.000000	1853050	494146	Lavf58.76.100			0
train/fighting_or_violence/videos/TR00515.mp4	train	fighting_or_violence	TR00515	1280	720	15.0	88	h264	5.866667	833290	1136304	Lavf58.76.100	EV录屏3.9.5软件录制	本视频由湖南一唯信息科技开发的EV录屏软件录制，www.ieway.cn	
train/fighting_or_violence/videos/TR00516.mp4	train	fighting_or_violence	TR00516	1280	720	15.0	87	h264	5.800000	1787773	2465893	Lavf58.76.100	EV录屏3.9.5软件录制	本视频由湖南一唯信息科技开发的EV录屏软件录制，www.ieway.cn	
train/fighting_or_violence/videos/TR00517.mp4	train	fighting_or_violence	TR00517	1280	720	15.0	450	h264	30.000000	2444613	651896	Lavf58.76.100			0
train/fighting_or_violence/videos/TR00518.mp4	train	fighting_or_violence	TR00518	1280	720	15.0	450	h264	30.000000	1681722	448459	Lavf58.76.100			0
train/fighting_or_violence/videos/TR00519.mp4	train	fighting_or_violence	TR00519	1280	720	15.0	392	h264	26.133333	2288126	700446	Lavf58.76.100			0
